Wavelength_nm	Reactant_normalized	PSS_normalized_to_reactant	Reactant_reconstructed_M-1_cm-1	Reactant_lower_M-1_cm-1	Reactant_upper_M-1_cm-1	PSS_reconstructed_M-1_cm-1	Product_epsilon_M-1_cm-1	Product_epsilon_raw_M-1_cm-1	Product_lower_nonnegative_M-1_cm-1	Product_upper_nonnegative_M-1_cm-1	Product_error_lower_M-1_cm-1	Product_error_upper_M-1_cm-1
2.58985657e+02	6.39488850e-01	8.69640321e-01	9.60896078e+03	9.48996271e+03	9.72795885e+03	1.30672173e+04	1.41002030e+04	1.41002030e+04	1.38687181e+04	1.43346481e+04	2.31484896e+02	2.34445075e+02
2.59585602e+02	6.40268268e-01	8.46128045e-01	9.62067232e+03	9.50152921e+03	9.73981543e+03	1.27139218e+04	1.36378794e+04	1.36378794e+04	1.34181221e+04	1.38602845e+04	2.19757336e+02	2.22405079e+02
2.60185486e+02	6.41464880e-01	8.21312977e-01	9.63865262e+03	9.51928684e+03	9.75801840e+03	1.23410505e+04	1.31482603e+04	1.31482603e+04	1.29409935e+04	1.33578402e+04	2.07266763e+02	2.09579947e+02
2.60785339e+02	6.41907242e-01	7.94219474e-01	9.64529955e+03	9.52585146e+03	9.76474764e+03	1.19339435e+04	1.26175644e+04	1.26175644e+04	1.24236735e+04	1.28134143e+04	1.93890890e+02	1.95849911e+02
2.61385193e+02	6.40860552e-01	7.64313010e-01	9.62957199e+03	9.51031866e+03	9.74882531e+03	1.14845689e+04	1.20386589e+04	1.20386589e+04	1.18590680e+04	1.22198376e+04	1.79590868e+02	1.81178698e+02
2.61985016e+02	6.37842761e-01	7.32059635e-01	9.58422666e+03	9.46553489e+03	9.70291842e+03	1.09999296e+04	1.14228019e+04	1.14228019e+04	1.12580615e+04	1.15887541e+04	1.64740379e+02	1.65952185e+02
2.62584778e+02	6.32983338e-01	6.98288450e-01	9.51120896e+03	9.39342145e+03	9.62899646e+03	1.04924837e+04	1.07855917e+04	1.07855917e+04	1.06358863e+04	1.09361372e+04	1.49705462e+02	1.50545409e+02
2.63184540e+02	6.26385560e-01	6.64033059e-01	9.41207073e+03	9.29551095e+03	9.52863050e+03	9.97776212e+03	1.01467349e+04	1.01467349e+04	1.00117748e+04	1.02821791e+04	1.34960034e+02	1.35444251e+02
2.63784302e+02	6.18500491e-01	6.30557131e-01	9.29358965e+03	9.17849716e+03	9.40868215e+03	9.47475276e+03	9.52886641e+03	9.52886641e+03	9.40788122e+03	9.65000667e+03	1.20985191e+02	1.21140262e+02
2.64384003e+02	6.09960354e-01	5.99313787e-01	9.16526554e+03	9.05176223e+03	9.27876886e+03	9.00529022e+03	8.95750538e+03	8.95750538e+03	8.84387514e+03	9.07113236e+03	1.13630233e+02	1.13626978e+02
2.64983673e+02	6.01425408e-01	5.71528578e-01	9.03701943e+03	8.92510432e+03	9.14893454e+03	8.58778960e+03	8.45360407e+03	8.45360407e+03	8.34133257e+03	8.56586644e+03	1.12271501e+02	1.12262363e+02
2.65583344e+02	5.93949695e-01	5.49143064e-01	8.92468935e+03	8.81416534e+03	9.03521335e+03	8.25142483e+03	8.05031984e+03	8.05031984e+03	7.93926171e+03	8.16136428e+03	1.11058133e+02	1.11044438e+02
2.66182983e+02	5.88372372e-01	5.33324785e-01	8.84088448e+03	8.73139832e+03	8.95037064e+03	8.01373933e+03	7.76667000e+03	7.76667000e+03	7.65652763e+03	7.87679554e+03	1.10142368e+02	1.10125542e+02
2.66782593e+02	5.84388233e-01	5.22572908e-01	8.78101880e+03	8.67227402e+03	8.88976358e+03	7.85218160e+03	7.57473672e+03	7.57473672e+03	7.46525506e+03	7.68419949e+03	1.09481663e+02	1.09462769e+02
2.67382172e+02	5.80286775e-01	5.12871294e-01	8.71939029e+03	8.61140872e+03	8.82737185e+03	7.70640513e+03	7.40382514e+03	7.40382514e+03	7.29503993e+03	7.51258975e+03	1.08785210e+02	1.08764603e+02
2.67981720e+02	5.73924781e-01	4.99604889e-01	8.62379496e+03	8.51699725e+03	8.73059266e+03	7.50706410e+03	7.17349515e+03	7.17349515e+03	7.06581149e+03	7.28115609e+03	1.07683656e+02	1.07660939e+02
2.68581238e+02	5.63811007e-01	4.79941233e-01	8.47182536e+03	8.36690965e+03	8.57674106e+03	7.21159797e+03	6.83516641e+03	6.83516641e+03	6.72925092e+03	6.94105627e+03	1.05915495e+02	1.05889859e+02
2.69180756e+02	5.49384554e-01	4.53732084e-01	8.25505344e+03	8.15282226e+03	8.35728463e+03	6.81777924e+03	6.38846357e+03	6.38846357e+03	6.28509213e+03	6.49180576e+03	1.03371435e+02	1.03342197e+02
2.69780243e+02	5.31865592e-01	4.24026647e-01	7.99181349e+03	7.89284229e+03	8.09078469e+03	6.37142527e+03	5.88741321e+03	5.88741321e+03	5.78715648e+03	5.98763697e+03	1.00256724e+02	1.00223762e+02
2.70379669e+02	5.13317530e-01	3.95675990e-01	7.71311027e+03	7.61759055e+03	7.80862999e+03	5.94542824e+03	5.41741932e+03	5.41741932e+03	5.32049722e+03	5.51430546e+03	9.69220972e+01	9.68861388e+01
2.70979095e+02	4.94799876e-01	3.71555987e-01	7.43486396e+03	7.34279006e+03	7.52693786e+03	5.58300103e+03	5.02984717e+03	5.02984717e+03	4.93630411e+03	5.12335256e+03	9.35430588e+01	9.35053880e+01
2.71578491e+02	4.76376542e-01	3.51999915e-01	7.15803491e+03	7.06938929e+03	7.24668054e+03	5.28915145e+03	4.73091353e+03	4.73091353e+03	4.64078524e+03	4.82100380e+03	9.01282908e+01	9.00902738e+01
2.72177887e+02	4.57457596e-01	3.35738328e-01	6.87375879e+03	6.78863366e+03	6.95888392e+03	5.04480481e+03	4.49849388e+03	4.49849388e+03	4.41191776e+03	4.58503279e+03	8.65761167e+01	8.65389119e+01
2.72777222e+02	4.37939374e-01	3.21676841e-01	6.58047794e+03	6.49898483e+03	6.66197106e+03	4.83351688e+03	4.31169734e+03	4.31169734e+03	4.22881828e+03	4.39454086e+03	8.28790569e+01	8.28435201e+01
2.73376556e+02	4.17941868e-01	3.08833001e-01	6.27999538e+03	6.20222346e+03	6.35776730e+03	4.64052531e+03	4.15081347e+03	4.15081347e+03	4.07174089e+03	4.22985270e+03	7.90725818e+01	7.90392316e+01
2.73975830e+02	3.97783481e-01	2.97053528e-01	5.97709541e+03	5.90307462e+03	6.05111620e+03	4.46352693e+03	4.01142205e+03	4.01142205e+03	3.93620049e+03	4.08661283e+03	7.52215634e+01	7.51907743e+01
2.74575104e+02	3.78441221e-01	2.86237548e-01	5.68645858e+03	5.61603706e+03	5.75688010e+03	4.30100599e+03	3.88716950e+03	3.88716950e+03	3.81564884e+03	3.95866197e+03	7.15206560e+01	7.14924729e+01
2.75174347e+02	3.60692066e-01	2.76623318e-01	5.41975974e+03	5.35264104e+03	5.48687844e+03	4.15654255e+03	3.77921793e+03	3.77921793e+03	3.71109707e+03	3.84731310e+03	6.81208636e+01	6.80951671e+01
2.75773560e+02	3.44674746e-01	2.67957726e-01	5.17908345e+03	5.11494530e+03	5.24322160e+03	4.02633335e+03	3.68200539e+03	3.68200539e+03	3.61695272e+03	3.74703462e+03	6.50526727e+01	6.50292233e+01
2.76372742e+02	3.30720982e-01	2.60471220e-01	4.96941416e+03	4.90787257e+03	5.03095575e+03	3.91384109e+03	3.59854004e+03	3.59854004e+03	3.53616102e+03	3.66089759e+03	6.23790183e+01	6.23575457e+01
2.76971924e+02	3.18903877e-01	2.54066237e-01	4.79185032e+03	4.73250770e+03	4.85119295e+03	3.81759981e+03	3.52658992e+03	3.52658992e+03	3.46647438e+03	3.58668564e+03	6.01155381e+01	6.00957198e+01
2.77571045e+02	3.09319335e-01	2.48801889e-01	4.64783297e+03	4.59027387e+03	4.70539208e+03	3.73849770e+03	3.46687808e+03	3.46687808e+03	3.40859756e+03	3.52514009e+03	5.82805167e+01	5.82620189e+01
2.78170166e+02	3.01717385e-01	2.44417373e-01	4.53360606e+03	4.47746155e+03	4.58975057e+03	3.67261595e+03	3.41543709e+03	3.41543709e+03	3.35860952e+03	3.47224714e+03	5.68275680e+01	5.68100537e+01
2.78769226e+02	2.95976345e-01	2.41121958e-01	4.44734117e+03	4.39226497e+03	4.50241737e+03	3.62309904e+03	3.37689684e+03	3.37689684e+03	3.32116674e+03	3.43261018e+03	5.57301037e+01	5.57133368e+01
2.79368286e+02	2.91950439e-01	2.38646730e-01	4.38684790e+03	4.33252086e+03	4.44117495e+03	3.58590626e+03	3.34666395e+03	3.34666395e+03	3.29170148e+03	3.40161012e+03	5.49624653e+01	5.49461725e+01
2.79967316e+02	2.89392472e-01	2.36906631e-01	4.34841188e+03	4.29456083e+03	4.40226293e+03	3.55975953e+03	3.32418805e+03	3.32418805e+03	3.26971132e+03	3.37864872e+03	5.44767212e+01	5.44606784e+01
2.80566315e+02	2.87968261e-01	2.35680431e-01	4.32701169e+03	4.27342566e+03	4.38059772e+03	3.54133464e+03	3.30665189e+03	3.30665189e+03	3.25244255e+03	3.36084524e+03	5.42093393e+01	5.41933570e+01
2.81165314e+02	2.87318446e-01	2.34823082e-01	4.31724757e+03	4.26378246e+03	4.37071268e+03	3.52845212e+03	3.29283790e+03	3.29283790e+03	3.23874700e+03	3.34691274e+03	5.40908937e+01	5.40748479e+01
2.81764252e+02	2.87099500e-01	2.34031586e-01	4.31395768e+03	4.26053331e+03	4.36738205e+03	3.51655910e+03	3.27837510e+03	3.27837510e+03	3.22431813e+03	3.33241586e+03	5.40569766e+01	5.40407559e+01
2.82363190e+02	2.87027974e-01	2.33161246e-01	4.31288294e+03	4.25947188e+03	4.36629400e+03	3.50348136e+03	3.26171206e+03	3.26171206e+03	3.20765887e+03	3.31574878e+03	5.40531895e+01	5.40367245e+01
2.82962067e+02	2.86873547e-01	2.32112825e-01	4.31056251e+03	4.25718019e+03	4.36394483e+03	3.48772779e+03	3.24194599e+03	3.24194599e+03	3.18791088e+03	3.29596436e+03	5.40351101e+01	5.40183720e+01
2.83560944e+02	2.86548325e-01	2.30969211e-01	4.30567572e+03	4.25235392e+03	4.35899753e+03	3.47054385e+03	3.22108887e+03	3.22108887e+03	3.16710453e+03	3.27505623e+03	5.39843477e+01	5.39673594e+01
2.84159790e+02	2.86028030e-01	2.29825400e-01	4.29785777e+03	4.24463279e+03	4.35108276e+03	3.45335693e+03	3.20110343e+03	3.20110343e+03	3.14720847e+03	3.25498122e+03	5.38949625e+01	5.38777835e+01
2.84758606e+02	2.85265634e-01	2.28662525e-01	4.28640200e+03	4.23331889e+03	4.33948512e+03	3.43588357e+03	3.18183261e+03	3.18183261e+03	3.12807475e+03	3.23557318e+03	5.37578674e+01	5.37405660e+01
2.85357391e+02	2.84234828e-01	2.27551594e-01	4.27091312e+03	4.21802182e+03	4.32380442e+03	3.41919073e+03	3.16478014e+03	3.16478014e+03	3.11121314e+03	3.21832982e+03	5.35670071e+01	5.35496813e+01
2.85956177e+02	2.82718224e-01	2.26369019e-01	4.24812463e+03	4.19551554e+03	4.30073371e+03	3.40142135e+03	3.14850999e+03	3.14850999e+03	3.09522918e+03	3.20177357e+03	5.32808108e+01	5.32635871e+01
2.86554901e+02	2.80695371e-01	2.25172075e-01	4.21772922e+03	4.16549655e+03	4.26996189e+03	3.38343607e+03	3.13423162e+03	3.13423162e+03	3.08133708e+03	3.18710920e+03	5.28945464e+01	5.28775751e+01
2.87153625e+02	2.78205354e-01	2.23891857e-01	4.18031423e+03	4.12854491e+03	4.23208355e+03	3.36419951e+03	3.12042498e+03	3.12042498e+03	3.06800821e+03	3.17282515e+03	5.24167747e+01	5.24001732e+01
2.87752289e+02	2.75445895e-01	2.22498107e-01	4.13885059e+03	4.08759476e+03	4.19010641e+03	3.34325702e+03	3.10561219e+03	3.10561219e+03	3.05372518e+03	3.15748301e+03	5.18870056e+01	5.18708216e+01
2.88350952e+02	2.72677513e-01	2.21296068e-01	4.09725288e+03	4.04651220e+03	4.14799356e+03	3.32519518e+03	3.09458054e+03	3.09458054e+03	3.04322736e+03	3.14591802e+03	5.13531846e+01	5.13374793e+01
2.88949585e+02	2.70035574e-01	2.20255280e-01	4.05755510e+03	4.00730604e+03	4.10780416e+03	3.30955630e+03	3.08612808e+03	3.08612808e+03	3.03528561e+03	3.13695535e+03	5.08424775e+01	5.08272616e+01
2.89548187e+02	2.67281174e-01	2.18966960e-01	4.01616748e+03	3.96643097e+03	4.06590399e+03	3.29019800e+03	3.07334998e+03	3.07334998e+03	3.02303752e+03	3.12364766e+03	5.03124534e+01	5.02976856e+01
2.90146790e+02	2.64354245e-01	2.17335556e-01	3.97218744e+03	3.92299558e+03	4.02137930e+03	3.26568451e+03	3.05465117e+03	3.05465117e+03	3.00489881e+03	3.10438916e+03	4.97523577e+01	4.97379859e+01
2.90745331e+02	2.61253267e-01	2.15271613e-01	3.92559213e+03	3.87697731e+03	3.97420695e+03	3.23467171e+03	3.02829288e+03	3.02829288e+03	2.97912993e+03	3.07744178e+03	4.91629557e+01	4.91489010e+01
2.91343842e+02	2.58042678e-01	2.12856134e-01	3.87734982e+03	3.82933243e+03	3.92536720e+03	3.19837672e+03	2.99556657e+03	2.99556657e+03	2.94701053e+03	3.04410880e+03	4.85560411e+01	4.85422293e+01
2.91942352e+02	2.54977428e-01	2.10145832e-01	3.83129136e+03	3.78384437e+03	3.87873835e+03	3.15765171e+03	2.95643467e+03	2.95643467e+03	2.90845325e+03	3.00440238e+03	4.79814186e+01	4.79677153e+01
2.92540833e+02	2.52211559e-01	2.07276726e-01	3.78973141e+03	3.74279910e+03	3.83666372e+03	3.11454051e+03	2.91286011e+03	2.91286011e+03	2.86539214e+03	2.96031434e+03	4.74679678e+01	4.74542329e+01
2.93139252e+02	2.49802239e-01	2.04588361e-01	3.75352896e+03	3.70704498e+03	3.80001294e+03	3.07414513e+03	2.87121230e+03	2.87121230e+03	2.82418934e+03	2.91822144e+03	4.70229604e+01	4.70091403e+01
2.93737671e+02	2.47349109e-01	2.01914570e-01	3.71666823e+03	3.67064073e+03	3.76269572e+03	3.03396874e+03	2.83004552e+03	2.83004552e+03	2.78347641e+03	2.87660074e+03	4.65691048e+01	4.65552173e+01
2.94336060e+02	2.44283136e-01	1.98970037e-01	3.67059891e+03	3.62514194e+03	3.71605587e+03	2.98972419e+03	2.78634603e+03	2.78634603e+03	2.74034890e+03	2.83232931e+03	4.59971313e+01	4.59832809e+01
2.94934448e+02	2.40430478e-01	1.95726781e-01	3.61270886e+03	3.56796881e+03	3.65744891e+03	2.94099102e+03	2.74034803e+03	2.74034803e+03	2.69507508e+03	2.78560732e+03	4.52729522e+01	4.52592881e+01
2.95532776e+02	2.35672811e-01	1.92175111e-01	3.54122014e+03	3.49736542e+03	3.58507487e+03	2.88762362e+03	2.69239349e+03	2.69239349e+03	2.64802023e+03	2.73675345e+03	4.43732544e+01	4.43599588e+01
2.96131073e+02	2.29933126e-01	1.88285127e-01	3.45497562e+03	3.41218895e+03	3.49776229e+03	2.82917272e+03	2.64224457e+03	2.64224457e+03	2.59896143e+03	2.68551499e+03	4.32831461e+01	4.32704159e+01
2.96729370e+02	2.23463963e-01	1.84177687e-01	3.35776997e+03	3.31618710e+03	3.39935284e+03	2.76745431e+03	2.59112626e+03	2.59112626e+03	2.54907507e+03	2.63316544e+03	4.20511906e+01	4.20391824e+01
2.97327606e+02	2.16412543e-01	1.79869459e-01	3.25181533e+03	3.21154461e+03	3.29208605e+03	2.70271887e+03	2.53870304e+03	2.53870304e+03	2.49799670e+03	2.57939821e+03	4.07063397e+01	4.06951699e+01
2.97925842e+02	2.09066381e-01	1.75511283e-01	3.14143187e+03	3.10252815e+03	3.18033559e+03	2.63723290e+03	2.48662801e+03	2.48662801e+03	2.44732428e+03	2.52592148e+03	3.93037239e+01	3.92934674e+01
2.98524048e+02	2.01580768e-01	1.71187918e-01	3.02895303e+03	2.99144226e+03	3.06646381e+03	2.57227002e+03	2.43585821e+03	2.43585821e+03	2.39798512e+03	2.47372200e+03	3.78730813e+01	3.78637914e+01
2.99122223e+02	1.94103530e-01	1.66895410e-01	2.91660005e+03	2.88048066e+03	2.95271944e+03	2.50777078e+03	2.38565295e+03	2.38565295e+03	2.34920922e+03	2.42208836e+03	3.64437294e+01	3.64354129e+01
2.99720367e+02	1.86898281e-01	1.62647989e-01	2.80833396e+03	2.77355535e+03	2.84311257e+03	2.44394903e+03	2.33510677e+03	2.33510677e+03	2.30003908e+03	2.37016706e+03	3.50676946e+01	3.50602823e+01
3.00318481e+02	1.80277655e-01	1.58609423e-01	2.70885242e+03	2.67530579e+03	2.74239905e+03	2.38326553e+03	2.28601230e+03	2.28601230e+03	2.25220737e+03	2.31981060e+03	3.38049279e+01	3.37983048e+01
3.00916595e+02	1.74334596e-01	1.54723778e-01	2.61955200e+03	2.58711128e+03	2.65199272e+03	2.32487982e+03	2.23686085e+03	2.23686085e+03	2.20418635e+03	2.26952936e+03	3.26744990e+01	3.26685048e+01
3.01514648e+02	1.69100187e-01	1.51060162e-01	2.54089976e+03	2.50943308e+03	2.57236645e+03	2.26983030e+03	2.18886150e+03	2.18886150e+03	2.15717976e+03	2.22053773e+03	3.16817390e+01	3.16762248e+01
3.02112701e+02	1.64620790e-01	1.47624633e-01	2.47359233e+03	2.44295918e+03	2.50422548e+03	2.21820804e+03	2.14192442e+03	2.14192442e+03	2.11108866e+03	2.17275498e+03	3.08357551e+01	3.08305600e+01
3.02710693e+02	1.60801473e-01	1.44216660e-01	2.41620327e+03	2.38628083e+03	2.44612571e+03	2.16699983e+03	2.09256243e+03	2.09256243e+03	2.06244229e+03	2.12267750e+03	3.01201413e+01	3.01150719e+01
3.03308685e+02	1.57708525e-01	1.40800714e-01	2.36972863e+03	2.34038174e+03	2.39907552e+03	2.11567183e+03	2.03978473e+03	2.03978473e+03	2.01023628e+03	2.06932801e+03	2.95484463e+01	2.95432782e+01
3.03906647e+02	1.55068093e-01	1.37162668e-01	2.33005349e+03	2.30119793e+03	2.35890904e+03	2.06100653e+03	1.98064185e+03	1.98064185e+03	1.95157285e+03	2.00970538e+03	2.90689987e+01	2.90635257e+01
3.04504578e+02	1.52867510e-01	1.33398016e-01	2.29698753e+03	2.26854146e+03	2.32543359e+03	2.00443886e+03	1.91705420e+03	1.91705420e+03	1.88837605e+03	1.94572640e+03	2.86781523e+01	2.86722013e+01
3.05102478e+02	1.51113760e-01	1.29694960e-01	2.27063567e+03	2.24251595e+03	2.29875538e+03	1.94879673e+03	1.85266303e+03	1.85266303e+03	1.82428798e+03	1.88103153e+03	2.83750462e+01	2.83684993e+01
3.05700348e+02	1.49459738e-01	1.26157764e-01	2.24578234e+03	2.21797040e+03	2.27359427e+03	1.89564682e+03	1.79106089e+03	1.79106089e+03	1.76297118e+03	1.81914347e+03	2.80897096e+01	2.80825871e+01
3.06298218e+02	1.47553622e-01	1.22676639e-01	2.21714104e+03	2.18968380e+03	2.24459827e+03	1.84333944e+03	1.73168442e+03	1.73168442e+03	1.70393063e+03	1.75943060e+03	2.77537890e+01	2.77461851e+01
3.06896027e+02	1.45170284e-01	1.19295018e-01	2.18132899e+03	2.15431526e+03	2.20834273e+03	1.79252719e+03	1.67639158e+03	1.67639158e+03	1.64906939e+03	1.70370586e+03	2.73221903e+01	2.73142813e+01
3.07493835e+02	1.42113714e-01	1.15882306e-01	2.13540097e+03	2.10895601e+03	2.16184593e+03	1.74124778e+03	1.62351371e+03	1.62351371e+03	1.59675605e+03	1.65026335e+03	2.67576598e+01	2.67496419e+01
3.08091583e+02	1.38395380e-01	1.12408325e-01	2.07952926e+03	2.05377622e+03	2.10528230e+03	1.68904772e+03	1.57241038e+03	1.57241038e+03	1.54634755e+03	1.59846527e+03	2.60628276e+01	2.60548844e+01
3.08689331e+02	1.33831209e-01	1.08709216e-01	2.01094802e+03	1.98604429e+03	2.03585175e+03	1.63346490e+03	1.52071021e+03	1.52071021e+03	1.49550701e+03	1.54590573e+03	2.52032003e+01	2.51955215e+01
3.09287048e+02	1.28638859e-01	1.04905657e-01	1.93292776e+03	1.90899024e+03	1.95686528e+03	1.57631261e+03	1.46979121e+03	1.46979121e+03	1.44557077e+03	1.49400439e+03	2.42204363e+01	2.42131820e+01
3.09884735e+02	1.23127528e-01	1.01049755e-01	1.85011449e+03	1.82720254e+03	1.87302645e+03	1.51837382e+03	1.41928246e+03	1.41928246e+03	1.39610732e+03	1.44245084e+03	2.31751368e+01	2.31683885e+01
3.10482391e+02	1.17557273e-01	9.73218244e-02	1.76641583e+03	1.74454041e+03	1.78829125e+03	1.46235794e+03	1.37153545e+03	1.37153545e+03	1.34941880e+03	1.39364591e+03	2.21166445e+01	2.21104593e+01
3.11080017e+02	1.12116495e-01	9.35624432e-02	1.68466269e+03	1.66379971e+03	1.70552568e+03	1.40586947e+03	1.32259357e+03	1.32259357e+03	1.30150940e+03	1.34367206e+03	2.10841642e+01	2.10784929e+01
3.11677612e+02	1.07024509e-01	8.99508788e-02	1.60815050e+03	1.58823505e+03	1.62806596e+03	1.35160209e+03	1.27497075e+03	1.27497075e+03	1.25485176e+03	1.29508451e+03	2.01189839e+01	2.01137651e+01
3.12275208e+02	1.02511469e-01	8.65725465e-02	1.54033755e+03	1.52126190e+03	1.55941320e+03	1.30083926e+03	1.22930081e+03	1.22930081e+03	1.21003516e+03	1.24856160e+03	1.92656568e+01	1.92607849e+01
3.12872742e+02	9.87025687e-02	8.34227612e-02	1.48310500e+03	1.46473812e+03	1.50147188e+03	1.25351058e+03	1.18493043e+03	1.18493043e+03	1.16638140e+03	1.20347479e+03	1.85490275e+01	1.85443571e+01
3.13470276e+02	9.55717547e-02	8.05630759e-02	1.43606139e+03	1.41827710e+03	1.45384567e+03	1.21054095e+03	1.14317770e+03	1.14317770e+03	1.12521449e+03	1.16113631e+03	1.79632039e+01	1.79586163e+01
3.14067749e+02	9.30417297e-02	7.79689488e-02	1.39804522e+03	1.38073173e+03	1.41535872e+03	1.17156159e+03	1.10391063e+03	1.10391063e+03	1.08641746e+03	1.12139920e+03	1.74931731e+01	1.74885659e+01
3.14665222e+02	9.10979729e-02	7.55368623e-02	1.36883833e+03	1.35188654e+03	1.38579012e+03	1.13501705e+03	1.06517433e+03	1.06517433e+03	1.04803704e+03	1.08230687e+03	1.71372941e+01	1.71325376e+01
3.15262665e+02	8.96730126e-02	7.33226286e-02	1.34742687e+03	1.33074024e+03	1.36411351e+03	1.10174597e+03	1.02836076e+03	1.02836076e+03	1.01147922e+03	1.04523731e+03	1.68815418e+01	1.68765441e+01
3.15860077e+02	8.86144827e-02	7.12523921e-02	1.33152140e+03	1.31503174e+03	1.34801106e+03	1.07063859e+03	9.92712557e+02	9.92712557e+02	9.76015930e+02	1.00940388e+03	1.66966275e+01	1.66913206e+01
3.16457458e+02	8.78408181e-02	6.92725528e-02	1.31989631e+03	1.30355062e+03	1.33624201e+03	1.04088952e+03	9.57549831e+02	9.57549831e+02	9.40982791e+02	9.74111195e+02	1.65670401e+01	1.65613646e+01
3.17054810e+02	8.73925140e-02	6.73919531e-02	1.31316010e+03	1.29689783e+03	1.32942237e+03	1.01263163e+03	9.22863382e+02	9.22863382e+02	9.06362690e+02	9.39357961e+02	1.65006924e+01	1.64945790e+01
3.17652130e+02	8.71994876e-02	6.56553655e-02	1.31025968e+03	1.29403333e+03	1.32648603e+03	9.86537659e+02	8.89841470e+02	8.89841470e+02	8.73358297e+02	9.06318059e+02	1.64831738e+01	1.64765887e+01
3.18249451e+02	8.72082802e-02	6.40060891e-02	1.31039180e+03	1.29416381e+03	1.32661979e+03	9.61755628e+02	8.57617551e+02	8.57617551e+02	8.41112975e+02	8.74115034e+02	1.65045754e+01	1.64974835e+01
3.18846710e+02	8.75343692e-02	6.25300002e-02	1.31529161e+03	1.29900295e+03	1.33158028e+03	9.39575913e+02	8.27349145e+02	8.27349145e+02	8.10762407e+02	8.43928241e+02	1.65867384e+01	1.65790956e+01
